epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6091,3.22146,4.8373,4.96564,2.62843,0,0,0,0,0,0,0,0,2.13198,2.90137,3.8636,1.65368,0.00011676,0.00011676,0.00011676
2,47.0687,2.41242,3.29444,4.33386,1.79661,0.14145,0.73758,0.47585,0.15628,0.00027,0.00379,0.00014,3e-05,2.26769,2.37555,3.62349,1.96114,0.000236513,0.000236513,0.000236513
3,67.3423,2.06968,3.00542,3.8017,1.61029,0.55294,0.41761,0.50809,0.2321,0.005,0.04108,0.00302,0.00048,1.95694,2.40078,3.01804,1.70276,0.00035507,0.00035507,0.00035507
4,87.8945,2.01785,2.88605,3.39252,1.5548,0.66435,0.20278,0.47317,0.25045,0.0043,0.04857,0.00306,0.0006,1.79106,2.11115,2.87328,1.31889,0.000410808,0.000410808,0.000410808
5,108.321,1.97918,2.90019,2.98555,1.52993,0.56701,0.54517,0.56629,0.30303,0.0034,0.07821,0.003,0.00062,1.67694,2.16141,2.17571,1.27772,0.000408743,0.000408743,0.000408743
6,128.299,1.96731,2.88902,2.71218,1.50967,0.689,0.61933,0.64903,0.38182,0.01549,0.0415,0.00483,0.00092,1.49652,2.10321,2.20571,1.15664,0.000406679,0.000406679,0.000406679
7,148.481,1.94519,2.86221,2.55426,1.47839,0.5847,0.57434,0.57228,0.29769,0.00957,0.02601,0.00256,0.00045,1.58328,2.04754,2.03537,1.25198,0.000404615,0.000404615,0.000404615
8,168.949,1.85215,2.7931,2.45488,1.46043,0.74486,0.61987,0.71196,0.41417,0.03623,0.0335,0.00771,0.00228,1.58355,1.87839,2.0451,1.1805,0.000402551,0.000402551,0.000402551
9,189.224,1.77067,2.70102,2.28401,1.38996,0.71133,0.69273,0.74586,0.46267,0.01625,0.04577,0.00694,0.00148,1.43227,1.88141,1.69084,1.1309,0.000400487,0.000400487,0.000400487
10,209.515,1.69743,2.62067,2.2002,1.35923,0.75259,0.66122,0.7345,0.4516,0.02508,0.04099,0.00817,0.00243,1.47633,1.84403,1.61141,1.17941,0.000398423,0.000398423,0.000398423
11,229.719,1.75215,2.68067,2.1451,1.36485,0.74009,0.69673,0.74607,0.38935,0.0367,0.08965,0.01236,0.00246,1.68789,1.80974,1.71229,1.19659,0.000396358,0.000396358,0.000396358
12,249.696,1.68317,2.62337,2.08707,1.32561,0.70433,0.61038,0.68061,0.3713,0.04145,0.13048,0.01657,0.00279,1.63139,1.83767,1.9272,1.2088,0.000394294,0.000394294,0.000394294
13,270.485,1.64118,2.57849,2.08486,1.31181,0.78234,0.64109,0.76158,0.47297,0.05199,0.11532,0.02152,0.00449,1.35732,1.74562,1.52251,1.08953,0.00039223,0.00039223,0.00039223
14,291.305,1.5895,2.54938,2.00953,1.30493,0.73288,0.71135,0.74121,0.44226,0.04738,0.11616,0.02001,0.00412,1.27816,1.73578,1.56264,1.08911,0.000390166,0.000390166,0.000390166
15,311.829,1.54201,2.45475,1.93746,1.28532,0.87214,0.70556,0.80453,0.50065,0.07927,0.08971,0.04343,0.00947,1.34749,1.64826,1.46046,1.07966,0.000388102,0.000388102,0.000388102
16,332.61,1.58444,2.46388,1.95137,1.28005,0.79285,0.75515,0.79915,0.53064,0.09175,0.13786,0.04018,0.00988,1.21624,1.53877,1.30281,1.05056,0.000386038,0.000386038,0.000386038
17,353.289,1.54086,2.38586,1.90407,1.26346,0.76289,0.7503,0.8153,0.53691,0.08693,0.16037,0.04589,0.01128,1.22343,1.45071,1.22556,1.07638,0.000383974,0.000383974,0.000383974
18,374.221,1.54519,2.4418,1.87874,1.2647,0.77606,0.75151,0.80201,0.53201,0.11302,0.22333,0.07406,0.02193,1.19709,1.49878,1.27556,1.06061,0.000381909,0.000381909,0.000381909
19,395.52,1.53191,2.39045,1.84605,1.24712,0.75225,0.72624,0.79127,0.50611,0.09027,0.16669,0.05594,0.01496,1.2925,1.55181,1.3383,1.07676,0.000379845,0.000379845,0.000379845
20,415.951,1.48999,2.32691,1.78298,1.26074,0.91621,0.7584,0.87099,0.63009,0.12444,0.16818,0.06398,0.01643,1.12187,1.39806,1.10549,1.05205,0.000377781,0.000377781,0.000377781
21,436.326,1.51472,2.30495,1.78949,1.25141,0.86147,0.71824,0.82055,0.47054,0.18883,0.25601,0.11189,0.02848,1.42862,1.51764,1.29039,1.09678,0.000375717,0.000375717,0.000375717
